style_number,style_name,category,fabric,gsm,color,print,season,brand,supplier,cost,selling_price,image_url
WFX-2699,Essential Off White Hoodie,Hoodie,French Terry,299,Off White,Printed,SS26,Everlane East,Colombo Apparel Group,558.44,1308.84,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/598090c2-f12f-4e60-9b23-d556a38117ad.jpg
WFX-2700,Relaxed Grey Melange Shorts,Shorts,Nylon Ripstop,211,Grey Melange,Solid,SS26,Loom & Co,Guangzhou Weave Co,387.7,733.47,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/1417c271-ce40-40b7-bee1-32344bab6f16.jpg
WFX-2701,Heritage Navy Polo,Polo,Cotton Pique,205,Navy,Solid,SS25,Meridian Apparel,ABC Textiles,363.78,823.32,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/45bb709b-54ae-4bae-a73a-745ca7bff53d.jpg
WFX-2702,Oversized Beige Hoodie,Hoodie,Cotton/Polyester Fleece 80/20,388,Beige,Printed,SS25,Vastra Studio,Phnom Penh Sewing Ltd,645.26,1639.77,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/39d3866f-ed4e-44ae-854e-d65d34b2ce7f.jpg
WFX-2703,Heritage Off White Hoodie,Hoodie,French Terry,393,Off White,Solid,SS26,UrbanThread,Dhaka Knitwear Ltd,705.05,1357.44,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/4321f0c4-51f9-44e8-9d9e-149515ac16dd.jpg
WFX-2704,Vintage White Polo,Polo,Cotton/Spandex 95/5,181,White,Solid,SS25,NorthPeak,Guangzhou Weave Co,538.44,1240.8,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/5054fa1f-7153-47e1-a1cd-ecfa3c52cece.jpg
WFX-2705,Tailored Teal Sweatshirt,Sweatshirt,Cotton Fleece,290,Teal,Solid,SS26,Everlane East,Noida Knits Pvt Ltd,626.68,1641.48,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/7110460a-44eb-4bea-a477-e533a80f0db2.jpg
WFX-2706,Classic Charcoal Trousers,Trousers,Cotton Twill,288,Charcoal,Solid,SS25,Everlane East,Hanoi Stitch Co,725.87,1597.6,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/34b616af-5ac8-45ba-a4cc-d73de11df0de.jpg
WFX-2707,Vintage Sky Blue Shirt,Shirt,Cotton Poplin,131,Sky Blue,Printed,SS26,UrbanThread,Phnom Penh Sewing Ltd,542.07,1266.62,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/994e3773-5bb8-4826-a3c2-a403593e4c5e.jpg
WFX-2708,Vintage Charcoal T-Shirt,T-Shirt,Cotton Slub,202,Charcoal,Solid,AW25,Everlane East,Karachi Textile Mills,207.03,468.64,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/bf69747a-2d9b-48a3-87b9-de657ff9450d.jpg
WFX-2709,Cropped Pink Polo,Polo,Polyester Pique,198,Pink,Solid,AW25,Everlane East,Dhaka Knitwear Ltd,489.42,1201.88,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/0cab4de0-5818-4680-a00a-35dbc6e95525.jpg
WFX-2710,Cropped Grey Melange Sweatshirt,Sweatshirt,Cotton Fleece,309,Grey Melange,Solid,AW26,Cotton Culture,ABC Textiles,526.67,910.01,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/1238d068-c9e6-4b79-a8cc-7a2b30f9770d.jpg
WFX-2711,Tailored Brown Skirt,Skirt,Cotton Twill,156,Brown,Solid,AW26,Loom & Co,Jakarta Garmindo,330.55,699.83,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/942987de-bfc1-41eb-be1e-e01d7f98f7a4.jpg
WFX-2712,Vintage Charcoal Shirt,Shirt,Cotton Poplin,132,Charcoal,Printed,SS25,NorthPeak,Hanoi Stitch Co,521.69,1208.4,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/70f2694b-35b8-4ab9-a743-d04d934a7085.jpg
WFX-2713,Slim Fit Indigo Jeans,Jeans,Denim 12oz,402,Indigo,Printed,AW25,NorthPeak,Karachi Textile Mills,843.18,1520.67,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/52889e96-b086-4375-92ba-9bd2ddb26fb9.jpg
WFX-2714,Vintage Red Dress,Dress,Cotton Voile,163,Red,Solid,SS26,Kaia Collective,Colombo Apparel Group,430.26,774.75,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/95dd0618-9a05-4abe-853c-fa6c3fa9bcce.jpg
WFX-2715,Athleisure Navy Polo,Polo,Cotton/Spandex 95/5,196,Navy,Solid,AW25,Kaia Collective,Istanbul Denim House,533.27,1314.55,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/a1bfb2ab-f92a-45a8-a57d-5406d119b180.jpg
WFX-2716,Vintage Black Jeans,Jeans,Denim 14oz,341,Black,Solid,SS26,Kaia Collective,Phnom Penh Sewing Ltd,1069.29,2137.15,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/188eaa2d-1a69-49b1-a9fb-7b3789ac93b4.jpg
WFX-2717,Athleisure Pink Shirt,Shirt,Cotton/Linen 70/30,151,Pink,Printed,AW25,Kaia Collective,Hanoi Stitch Co,689.69,1216.16,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/5d97eab8-e62b-49cf-b73e-7cec4951d9c2.jpg
WFX-2718,Heritage Charcoal Jacket,Jacket,Polyester Shell,321,Charcoal,Solid,AW26,Vastra Studio,Guangzhou Weave Co,1571.85,3064.7,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/2edb1db6-cd17-41d2-88e0-ba34801b656d.jpg
WFX-2719,Athleisure Maroon Skirt,Skirt,Denim 10oz,175,Maroon,Solid,AW25,Meridian Apparel,Dhaka Knitwear Ltd,585.77,1213.44,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/00fc9948-363d-41dd-98c2-e6be140f543f.jpg
WFX-2720,Signature Charcoal Skirt,Skirt,Denim 10oz,260,Charcoal,Solid,SS25,Everlane East,Colombo Apparel Group,547.93,1164.98,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/cb3838a8-f6e4-4845-8140-51ff740a75cb.jpg
WFX-2721,Vintage Grey Melange Jeans,Jeans,Denim 12oz,417,Grey Melange,Printed,AW26,Loom & Co,Guangzhou Weave Co,645.21,1542.31,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/bcc899d1-550b-4401-a87d-efd409a06286.jpg
WFX-2722,Vintage Charcoal Polo,Polo,Polyester Pique,210,Charcoal,Solid,SS25,Cotton Culture,Guangzhou Weave Co,424.67,951.79,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ae596614-9997-47d9-9203-b90214b5ae32.jpg
WFX-2723,Heritage Grey Melange Polo,Polo,Cotton Pique,229,Grey Melange,Solid,SS25,Everlane East,Tirupur Garments Co,324.47,777.96,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/b98d9f36-f35b-4a75-8f22-8627ce2f0954.jpg
WFX-2724,Signature Navy Polo,Polo,Cotton/Spandex 95/5,186,Navy,Solid,AW25,Kaia Collective,Jakarta Garmindo,253.16,483.66,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/b61b9f26-f5fd-4b47-9edc-f27bd6d1176a.jpg
WFX-2725,Slim Fit Charcoal Shorts,Shorts,Nylon Ripstop,219,Charcoal,Solid,SS26,UrbanThread,Jakarta Garmindo,481.7,1110.95,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/c6689216-f1cf-4b72-9711-c9c81ee31618.jpg
WFX-2726,Signature Pink Dress,Dress,Viscose,137,Pink,Solid,AW25,Cotton Culture,Dhaka Knitwear Ltd,578.79,1594.03,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/b2f77e73-5ae0-49ca-bb0e-aaad215bcd8f.jpg
WFX-2727,Boxy Grey Melange Dress,Dress,Cotton Voile,158,Grey Melange,Printed,SS25,Kaia Collective,Hanoi Stitch Co,781.35,1738.77,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/d337b973-20fd-4455-9425-b819b0f68c24.jpg
WFX-2728,Classic Navy Shorts,Shorts,Nylon Ripstop,168,Navy,Solid,SS26,Loom & Co,Dhaka Knitwear Ltd,340.08,874.76,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/96548af1-6efc-4300-a9a4-2d75ee10f6ae.jpg
WFX-2729,Tailored Charcoal Jeans,Jeans,Denim 12oz,402,Charcoal,Solid,AW26,Kaia Collective,Hanoi Stitch Co,809.6,1831.55,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/56f8579b-7609-499c-b95e-6be249d855d3.jpg
WFX-2730,Vintage Grey Melange Shirt,Shirt,Cotton/Linen 70/30,150,Grey Melange,Solid,SS25,Vastra Studio,Karachi Textile Mills,373.78,885.33,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/42762722-3b6d-40a7-b5f0-9d1582149716.jpg
WFX-2731,Cropped Charcoal Hoodie,Hoodie,French Terry,334,Charcoal,Solid,SS25,Loom & Co,Shenzhen Fashion Works,624.98,1528.5,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/a59154c9-0a36-4592-8cd1-31149605c6c5.jpg
WFX-2732,Boxy Charcoal Jacket,Jacket,Denim 12oz,303,Charcoal,Solid,SS26,Everlane East,Noida Knits Pvt Ltd,877.37,1523.77,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/1dcf0cd4-ca7e-46ac-90c7-ce465153a7f0.jpg
WFX-2733,Heritage Off White Skirt,Skirt,Cotton Twill,184,Off White,Printed,SS26,Loom & Co,Tirupur Garments Co,423.19,909.62,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/7f160564-1b10-4cf0-bb61-5d9af037e898.jpg
WFX-2734,Signature Charcoal Shirt,Shirt,Linen,117,Charcoal,Solid,AW25,Everlane East,Hanoi Stitch Co,395.43,688.18,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/cb5e105f-173a-443a-9f54-4b9cbf62919a.jpg
WFX-2735,Heritage Grey Melange Shirt,Shirt,Chambray,118,Grey Melange,Printed,AW25,Meridian Apparel,Istanbul Denim House,529.92,1116.88,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/5e006644-bc80-4823-9675-426e210b660b.jpg
WFX-2736,Classic Black Polo,Polo,Cotton/Spandex 95/5,188,Black,Solid,SS26,UrbanThread,Phnom Penh Sewing Ltd,306.13,799.12,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/13da9ac3-7cdb-438f-be63-eb3dc2959cca.jpg
WFX-2737,Heritage Black Shorts,Shorts,Cotton Twill,184,Black,Solid,AW26,Everlane East,Jakarta Garmindo,494.56,1363.3,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/e97e3e26-c9de-4a66-95da-ce81c01fe1f0.jpg
WFX-2738,Athleisure Pink Polo,Polo,Cotton/Spandex 95/5,225,Pink,Solid,SS25,Vastra Studio,Dhaka Knitwear Ltd,501.97,1097.53,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/7dd9bded-33f2-4928-b8f1-7efe0fd3bce3.jpg
WFX-2739,Athleisure Black Jacket,Jacket,Nylon Taslan,290,Black,Solid,AW26,Loom & Co,Istanbul Denim House,902.36,1756.36,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ad44c61f-e36f-4b7a-a15d-eff4f036d891.jpg
WFX-2740,Classic Black Skirt,Skirt,Polyester Crepe,239,Black,Solid,AW26,Vastra Studio,Jakarta Garmindo,490.09,1366.9,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/978f5148-3c6b-4393-9d12-df98d51b8881.jpg
WFX-2741,Cropped Forest Green Jacket,Jacket,Nylon Taslan,283,Forest Green,Solid,SS26,Loom & Co,Istanbul Denim House,967.94,2709.43,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/463bbfd1-880b-4537-abb8-8ef98c2894c5.jpg
WFX-2742,Athleisure Navy Sweatshirt,Sweatshirt,French Terry,359,Navy,Solid,SS26,Everlane East,Guangzhou Weave Co,724.76,1342.15,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/2153199f-0a48-4334-bb12-51e07486b5c0.jpg
WFX-2743,Essential Beige T-Shirt,T-Shirt,Cotton/Polyester 60/40,166,Beige,Solid,SS26,Meridian Apparel,Phnom Penh Sewing Ltd,353.38,906.96,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/6567c49d-5cd4-44b2-9824-5c8f4caed18f.jpg
WFX-2744,Heritage Navy Jacket,Jacket,Denim 12oz,294,Navy,Solid,SS25,Meridian Apparel,Jakarta Garmindo,1215.46,3333.86,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/cc8316bf-7f34-469f-8998-e637f3146524.jpg
WFX-2745,Relaxed Charcoal T-Shirt,T-Shirt,100% Cotton,175,Charcoal,Solid,AW25,Cotton Culture,Tirupur Garments Co,366.76,642.66,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/62c6229a-59c1-4c1b-aecf-44c3779129e5.jpg
WFX-2746,Heritage Maroon Polo,Polo,Polyester Pique,205,Maroon,Printed,AW26,Everlane East,Colombo Apparel Group,396.84,909.92,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/7ee4c64a-2540-4d05-84c2-4c6de40aac26.jpg
WFX-2747,Essential Charcoal Dress,Dress,Viscose,111,Charcoal,Solid,AW26,Kaia Collective,Guangzhou Weave Co,571.57,1428.79,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/2bc3b252-bec7-4dbc-beb3-f7977e71000f.jpg
WFX-2748,Signature Grey Melange Jacket,Jacket,Nylon Taslan,243,Grey Melange,Solid,SS26,Loom & Co,Noida Knits Pvt Ltd,1357.84,2919.54,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/c2f138b8-9581-4ad4-b370-efee47b5752d.jpg
WFX-2749,Cropped Charcoal Jacket,Jacket,Polyester Shell,329,Charcoal,Solid,SS26,Meridian Apparel,Hanoi Stitch Co,1442.36,3164.04,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/6228decd-43bc-4048-ad5c-507211352beb.jpg
WFX-2750,Oversized Charcoal Jeans,Jeans,Denim 14oz,427,Charcoal,Solid,AW26,UrbanThread,ABC Textiles,1036.49,2606.47,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/65550f31-b44f-462e-aec4-6dda5e478930.jpg
WFX-2751,Relaxed Blue Shorts,Shorts,Cotton Twill,216,Blue,Solid,AW25,NorthPeak,Karachi Textile Mills,386.96,1079.7,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/6aa97899-d731-4d8b-9a96-0db401c28500.jpg
WFX-2752,Heritage Grey Melange Shorts,Shorts,Nylon Ripstop,171,Grey Melange,Solid,AW25,UrbanThread,Hanoi Stitch Co,446.38,848.33,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/9de18803-34d3-4737-b958-075a1ffadbc1.jpg
WFX-2753,Classic Brown Dress,Dress,Cotton Voile,129,Brown,Solid,AW25,Kaia Collective,Dhaka Knitwear Ltd,586.08,1001.87,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/35f157d0-53e4-4496-b087-da4ad63edd47.jpg
WFX-2754,Classic Grey Melange Hoodie,Hoodie,Cotton Fleece,355,Grey Melange,Solid,SS26,Loom & Co,ABC Textiles,551.79,1333.11,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/99e7f689-720b-43c6-bd96-609a6ceb5763.jpg
WFX-2755,Signature Black Polo,Polo,Polyester Pique,188,Black,Solid,SS25,Loom & Co,Dhaka Knitwear Ltd,393.31,737.35,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/e1ab4913-55b9-47ec-8e5b-3e9b7f683d10.jpg
WFX-2756,Heritage Black Skirt,Skirt,Polyester Crepe,252,Black,Solid,AW25,Loom & Co,Tirupur Garments Co,404.74,833.47,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/bb361f03-abc9-4a8e-a2a4-ff306a5b4612.jpg
WFX-2757,Heritage Grey Melange Polo,Polo,Polyester Pique,221,Grey Melange,Solid,AW25,Everlane East,Shenzhen Fashion Works,299.23,604.87,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/a74fc5e8-a0b5-4e46-a6af-c09529cb79af.jpg
WFX-2758,Athleisure Grey Melange Polo,Polo,Cotton Pique,185,Grey Melange,Solid,AW26,Cotton Culture,Dhaka Knitwear Ltd,518.98,917.56,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/f937d0b8-1c6f-432f-86a8-dac89c03b890.jpg
WFX-2759,Tailored Black Dress,Dress,Cotton Voile,117,Black,Printed,SS26,UrbanThread,Shenzhen Fashion Works,486.28,1154.21,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/55694d05-4d0e-48cd-936a-3acd3761ceac.jpg
WFX-2760,Cropped Off White Polo,Polo,Cotton Pique,213,Off White,Printed,SS25,Vastra Studio,Karachi Textile Mills,432.08,789.14,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/27502456-dec6-4793-b25b-57dce72c4e1b.jpg
WFX-2761,Tailored Brown Polo,Polo,Cotton/Spandex 95/5,187,Brown,Solid,SS25,Cotton Culture,Dhaka Knitwear Ltd,322.32,762.51,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/74b35283-7e3e-47ef-b190-95dda57d148e.jpg
WFX-2762,Tailored Red Shorts,Shorts,Cotton Twill,209,Red,Printed,AW25,Kaia Collective,Hanoi Stitch Co,508.24,1159.83,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/78534d30-3cc9-409f-a8be-903f5864af3f.jpg
WFX-2763,Classic Black Sweatshirt,Sweatshirt,French Terry,335,Black,Solid,AW26,NorthPeak,ABC Textiles,427.01,817.56,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/25ab31fb-d1c4-4f48-a99e-743f2ef942fa.jpg
WFX-2764,Athleisure Charcoal Sweatshirt,Sweatshirt,Loopback Cotton,349,Charcoal,Printed,AW25,NorthPeak,Jakarta Garmindo,560.91,1328.6,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ac5bb666-2aa9-4f10-b94a-7df35c75ecd0.jpg
WFX-2765,Tailored Charcoal Hoodie,Hoodie,Cotton/Polyester Fleece 80/20,290,Charcoal,Solid,SS26,Everlane East,Tirupur Garments Co,680.09,1253.98,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/21531a69-d7f0-4d77-a2d9-a4269652344e.jpg
WFX-2766,Classic Brown Sweatshirt,Sweatshirt,Loopback Cotton,349,Brown,Solid,AW25,Loom & Co,Shenzhen Fashion Works,574.99,1577.84,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/3c4d6cf5-113b-4a26-8e60-e8ab594eaa0e.jpg
WFX-2767,Signature Grey Melange Shirt,Shirt,Cotton Poplin,139,Grey Melange,Solid,AW25,Loom & Co,Noida Knits Pvt Ltd,544.92,907.86,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/934d166e-63f5-422b-b56a-7c59cbe18e8d.jpg
WFX-2768,Tailored Blush Pink Hoodie,Hoodie,French Terry,297,Blush Pink,Solid,SS26,Meridian Apparel,Hanoi Stitch Co,765.67,1375.6,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/85dd32b5-b370-4547-9677-4e3c1e2ac477.jpg
WFX-2769,Classic Charcoal Sweatshirt,Sweatshirt,French Terry,355,Charcoal,Solid,SS26,Everlane East,Dhaka Knitwear Ltd,712.45,1369.7,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/e43d8c8e-bad5-4497-abe3-88a6762bb9f0.jpg
WFX-2770,Oversized Black Sweatshirt,Sweatshirt,Cotton Fleece,268,Black,Solid,AW26,Kaia Collective,Noida Knits Pvt Ltd,505.18,1399.38,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/675319cc-b2f9-4b92-a126-472d4bcefdee.jpg
WFX-2771,Cropped White Dress,Dress,Viscose,163,White,Printed,SS25,Loom & Co,Tirupur Garments Co,822.65,1480.98,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/3bc76eb3-1fd9-4244-80f0-e9fcd982c64c.jpg
WFX-2772,Boxy Beige T-Shirt,T-Shirt,100% Cotton,145,Beige,Solid,SS26,Everlane East,ABC Textiles,364.67,588.85,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/39d63307-80bb-46d0-b39d-bb6556d90507.jpg
WFX-2773,Signature Grey Melange Skirt,Skirt,Viscose,259,Grey Melange,Solid,AW26,Vastra Studio,Guangzhou Weave Co,636.12,1044.79,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/6d210194-60de-49c5-a215-05201cfa1a64.jpg
WFX-2774,Athleisure Navy Jacket,Jacket,Polyester Shell,326,Navy,Solid,SS26,Loom & Co,Dhaka Knitwear Ltd,1524.27,3024.03,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/01420fed-89b3-4801-9d91-af5507322fa3.jpg
WFX-2775,Oversized Charcoal Shorts,Shorts,Cotton Twill,188,Charcoal,Solid,AW26,NorthPeak,Karachi Textile Mills,491.3,1364.68,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/36531270-9901-40b4-adb7-dda831ed614b.jpg
WFX-2776,Cropped Black Shorts,Shorts,Nylon Ripstop,171,Black,Printed,SS26,Vastra Studio,Shenzhen Fashion Works,415.93,669.47,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/648914a5-dc69-4785-a688-5ccd30d0dcf0.jpg
WFX-2777,Signature Charcoal Polo,Polo,Cotton/Spandex 95/5,217,Charcoal,Solid,AW25,Meridian Apparel,Shenzhen Fashion Works,541.56,1514.93,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/1c0db814-f31c-42e6-a00c-0b18a819bef6.jpg
WFX-2778,Classic Charcoal Shorts,Shorts,Nylon Ripstop,163,Charcoal,Solid,SS26,UrbanThread,Guangzhou Weave Co,319.9,644.83,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/6ce43abd-eb73-474b-bc3d-f8da15d83593.jpg
WFX-2779,Boxy Black Jacket,Jacket,Denim 12oz,246,Black,Solid,SS25,Meridian Apparel,Karachi Textile Mills,884.67,2459.15,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/3fe769c1-8e61-4fa7-bd51-692f8b1629c8.jpg
WFX-2780,Vintage Grey Melange Shirt,Shirt,Cotton Poplin,112,Grey Melange,Solid,SS26,Kaia Collective,Jakarta Garmindo,668.51,1789.43,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/1c3deae2-1e34-4b42-b4e2-4932937481a9.jpg
WFX-2781,Vintage Beige Trousers,Trousers,Poly/Viscose Suiting,210,Beige,Solid,SS25,UrbanThread,Noida Knits Pvt Ltd,661.35,1459.28,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/510f1ddc-4984-4c98-8485-a22193eda539.jpg
WFX-2782,Vintage Navy Sweatshirt,Sweatshirt,Cotton Fleece,276,Navy,Solid,SS26,Cotton Culture,Hanoi Stitch Co,494.71,946.47,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/e2b0031c-9917-4043-8dde-63bee7e4495b.jpg
WFX-2783,Oversized Red T-Shirt,T-Shirt,Organic Cotton,169,Red,Solid,AW25,Loom & Co,Phnom Penh Sewing Ltd,168.67,310.9,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/7d2cef93-2a52-4462-9b3c-4571c7cf3e0a.jpg
WFX-2784,Relaxed Black Shorts,Shorts,Nylon Ripstop,219,Black,Solid,AW26,NorthPeak,Hanoi Stitch Co,344.21,600.61,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/14e754c0-a104-47be-b038-7b1e46068caa.jpg
WFX-2785,Signature Lavender Dress,Dress,Cotton Voile,115,Lavender,Solid,SS25,Vastra Studio,Colombo Apparel Group,399.73,1026.95,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/f242fb73-77c7-4933-9291-1cf44b56ba2e.jpg
WFX-2786,Tailored Indigo Dress,Dress,Rayon Challis,111,Indigo,Printed,SS25,NorthPeak,Karachi Textile Mills,741.14,2047.09,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/3eeaf330-2460-4d7f-844f-d7254d12e587.jpg
WFX-2787,Signature Grey Melange Sweatshirt,Sweatshirt,French Terry,263,Grey Melange,Solid,AW25,Loom & Co,Jakarta Garmindo,780.84,2050.11,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/4997d170-1266-4b3b-9a16-37322c9fb2ba.jpg
WFX-2788,Slim Fit Off White Dress,Dress,Viscose,117,Off White,Solid,AW25,Everlane East,Shenzhen Fashion Works,416.8,697.72,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/a5b5dd47-2e34-475e-99b0-6a977fb8786c.jpg
WFX-2789,Classic Charcoal Jacket,Jacket,Nylon Taslan,369,Charcoal,Solid,SS25,Vastra Studio,Dhaka Knitwear Ltd,1227.51,3315.4,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/26f59ad4-2bac-4f38-a695-ff82498ab97a.jpg
WFX-2790,Oversized Black Hoodie,Hoodie,Cotton Fleece,291,Black,Solid,SS25,Kaia Collective,Hanoi Stitch Co,857.29,2224.86,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/750e7e55-fe47-443a-a0b4-8ff764c451d4.jpg
WFX-2791,Classic Black Shirt,Shirt,Oxford Cotton,146,Black,Solid,AW26,Everlane East,Istanbul Denim House,473.26,1168.63,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/0e99edde-0ed8-4c8c-a405-0517c1b801a4.jpg
WFX-2792,Slim Fit Off White Skirt,Skirt,Polyester Crepe,167,Off White,Printed,SS25,Vastra Studio,Istanbul Denim House,617.91,1192.55,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/ccb57961-f839-44fc-be22-8b8a5944f8b3.jpg
WFX-2793,Cropped Red Jacket,Jacket,Cotton Canvas,325,Red,Solid,AW26,Meridian Apparel,Dhaka Knitwear Ltd,1494.5,3250.29,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/311ee106-2f12-4b1d-83fb-b3e597607cca.jpg
WFX-2794,Tailored Grey Melange Polo,Polo,Cotton Pique,221,Grey Melange,Solid,SS25,Everlane East,Noida Knits Pvt Ltd,515.4,1149.85,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/d461d917-9bec-4042-9f4b-5c8b1787d1a8.jpg
WFX-2795,Tailored Grey Melange Shorts,Shorts,Nylon Ripstop,229,Grey Melange,Solid,SS26,Everlane East,Phnom Penh Sewing Ltd,484.43,975.08,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/efb95540-2516-4117-bef9-021a27eee668.jpg
