tech_pack_id,style_number,fabric_details,construction,wash_instructions
TP-WFX-2705,WFX-2705,"Cotton Fleece, 290 GSM, Teal, Solid",Plain Weave,Dry clean only
TP-WFX-2706,WFX-2706,"Cotton Twill, 288 GSM, Charcoal, Solid",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-2707,WFX-2707,"Cotton Poplin, 131 GSM, Sky Blue, Printed",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2708,WFX-2708,"Cotton Slub, 202 GSM, Charcoal, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2709,WFX-2709,"Polyester Pique, 198 GSM, Pink, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2710,WFX-2710,"Cotton Fleece, 309 GSM, Grey Melange, Solid",Satin Weave,Dry clean only
TP-WFX-2711,WFX-2711,"Cotton Twill, 156 GSM, Brown, Solid",Fleece Brushed,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2712,WFX-2712,"Cotton Poplin, 132 GSM, Charcoal, Printed",Pique Knit,Dry clean only
TP-WFX-2713,WFX-2713,"Denim 12oz, 402 GSM, Indigo, Printed",Plain Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2714,WFX-2714,"Cotton Voile, 163 GSM, Red, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2715,WFX-2715,"Cotton/Spandex 95/5, 196 GSM, Navy, Solid",Single Jersey,Dry clean only
TP-WFX-2716,WFX-2716,"Denim 14oz, 341 GSM, Black, Solid",Single Jersey,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2717,WFX-2717,"Cotton/Linen 70/30, 151 GSM, Pink, Printed",2x2 Rib,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2718,WFX-2718,"Polyester Shell, 321 GSM, Charcoal, Solid",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2719,WFX-2719,"Denim 10oz, 175 GSM, Maroon, Solid",Fleece Brushed,Dry clean only
TP-WFX-2720,WFX-2720,"Denim 10oz, 260 GSM, Charcoal, Solid",Interlock,"Machine wash warm with like colors, line dry"
TP-WFX-2721,WFX-2721,"Denim 12oz, 417 GSM, Grey Melange, Printed",French Terry Loopback,Dry clean only
TP-WFX-2722,WFX-2722,"Polyester Pique, 210 GSM, Charcoal, Solid",Satin Weave,Dry clean only
TP-WFX-2723,WFX-2723,"Cotton Pique, 229 GSM, Grey Melange, Solid",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2724,WFX-2724,"Cotton/Spandex 95/5, 186 GSM, Navy, Solid",Dobby Weave,"Hand wash only, dry flat in shade"
TP-WFX-2725,WFX-2725,"Nylon Ripstop, 219 GSM, Charcoal, Solid",2x2 Rib,"Machine wash warm with like colors, line dry"
TP-WFX-2726,WFX-2726,"Viscose, 137 GSM, Pink, Solid",Single Jersey,"Machine wash warm with like colors, line dry"
TP-WFX-2727,WFX-2727,"Cotton Voile, 158 GSM, Grey Melange, Printed",Dobby Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2728,WFX-2728,"Nylon Ripstop, 168 GSM, Navy, Solid",Dobby Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2729,WFX-2729,"Denim 12oz, 402 GSM, Charcoal, Solid",Single Jersey,Dry clean only
TP-WFX-2730,WFX-2730,"Cotton/Linen 70/30, 150 GSM, Grey Melange, Solid",French Terry Loopback,Dry clean only
TP-WFX-2731,WFX-2731,"French Terry, 334 GSM, Charcoal, Solid",Fleece Brushed,"Hand wash only, dry flat in shade"
TP-WFX-2732,WFX-2732,"Denim 12oz, 303 GSM, Charcoal, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2733,WFX-2733,"Cotton Twill, 184 GSM, Off White, Printed",Plain Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2734,WFX-2734,"Linen, 117 GSM, Charcoal, Solid",Plain Weave,Dry clean only
TP-WFX-2735,WFX-2735,"Chambray, 118 GSM, Grey Melange, Printed",Interlock,"Machine wash warm with like colors, line dry"
TP-WFX-2736,WFX-2736,"Cotton/Spandex 95/5, 188 GSM, Black, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2737,WFX-2737,"Cotton Twill, 184 GSM, Black, Solid",Fleece Brushed,"Machine wash warm with like colors, line dry"
TP-WFX-2738,WFX-2738,"Cotton/Spandex 95/5, 225 GSM, Pink, Solid",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2739,WFX-2739,"Nylon Taslan, 290 GSM, Black, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2740,WFX-2740,"Polyester Crepe, 239 GSM, Black, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2741,WFX-2741,"Nylon Taslan, 283 GSM, Forest Green, Solid",Single Jersey,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2742,WFX-2742,"French Terry, 359 GSM, Navy, Solid",2x2 Rib,"Machine wash warm with like colors, line dry"
TP-WFX-2743,WFX-2743,"Cotton/Polyester 60/40, 166 GSM, Beige, Solid",Fleece Brushed,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2744,WFX-2744,"Denim 12oz, 294 GSM, Navy, Solid",Single Jersey,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2745,WFX-2745,"100% Cotton, 175 GSM, Charcoal, Solid",Twill Weave 3/1,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2746,WFX-2746,"Polyester Pique, 205 GSM, Maroon, Printed",Dobby Weave,"Hand wash only, dry flat in shade"
TP-WFX-2747,WFX-2747,"Viscose, 111 GSM, Charcoal, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2748,WFX-2748,"Nylon Taslan, 243 GSM, Grey Melange, Solid",Fleece Brushed,"Hand wash only, dry flat in shade"
TP-WFX-2749,WFX-2749,"Polyester Shell, 329 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2750,WFX-2750,"Denim 14oz, 427 GSM, Charcoal, Solid",Dobby Weave,"Hand wash only, dry flat in shade"
TP-WFX-2751,WFX-2751,"Cotton Twill, 216 GSM, Blue, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2752,WFX-2752,"Nylon Ripstop, 171 GSM, Grey Melange, Solid",Single Jersey,"Hand wash only, dry flat in shade"
TP-WFX-2753,WFX-2753,"Cotton Voile, 129 GSM, Brown, Solid",2x2 Rib,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2754,WFX-2754,"Cotton Fleece, 355 GSM, Grey Melange, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2755,WFX-2755,"Polyester Pique, 188 GSM, Black, Solid",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2756,WFX-2756,"Polyester Crepe, 252 GSM, Black, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2757,WFX-2757,"Polyester Pique, 221 GSM, Grey Melange, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2758,WFX-2758,"Cotton Pique, 185 GSM, Grey Melange, Solid",Satin Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2759,WFX-2759,"Cotton Voile, 117 GSM, Black, Printed",Plain Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2760,WFX-2760,"Cotton Pique, 213 GSM, Off White, Printed",Dobby Weave,Dry clean only
TP-WFX-2761,WFX-2761,"Cotton/Spandex 95/5, 187 GSM, Brown, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2762,WFX-2762,"Cotton Twill, 209 GSM, Red, Printed",2x2 Rib,"Hand wash only, dry flat in shade"
TP-WFX-2763,WFX-2763,"French Terry, 335 GSM, Black, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2764,WFX-2764,"Loopback Cotton, 349 GSM, Charcoal, Printed",Dobby Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2765,WFX-2765,"Cotton/Polyester Fleece 80/20, 290 GSM, Charcoal, Solid",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2766,WFX-2766,"Loopback Cotton, 349 GSM, Brown, Solid",French Terry Loopback,"Machine wash warm with like colors, line dry"
TP-WFX-2767,WFX-2767,"Cotton Poplin, 139 GSM, Grey Melange, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-2768,WFX-2768,"French Terry, 297 GSM, Blush Pink, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2769,WFX-2769,"French Terry, 355 GSM, Charcoal, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2770,WFX-2770,"Cotton Fleece, 268 GSM, Black, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2771,WFX-2771,"Viscose, 163 GSM, White, Printed",Pique Knit,"Machine wash warm with like colors, line dry"
TP-WFX-2772,WFX-2772,"100% Cotton, 145 GSM, Beige, Solid",2x2 Rib,Dry clean only
TP-WFX-2773,WFX-2773,"Viscose, 259 GSM, Grey Melange, Solid",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2774,WFX-2774,"Polyester Shell, 326 GSM, Navy, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2775,WFX-2775,"Cotton Twill, 188 GSM, Charcoal, Solid",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2776,WFX-2776,"Nylon Ripstop, 171 GSM, Black, Printed",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2777,WFX-2777,"Cotton/Spandex 95/5, 217 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2778,WFX-2778,"Nylon Ripstop, 163 GSM, Charcoal, Solid",Dobby Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2779,WFX-2779,"Denim 12oz, 246 GSM, Black, Solid",Interlock,"Machine wash warm with like colors, line dry"
TP-WFX-2780,WFX-2780,"Cotton Poplin, 112 GSM, Grey Melange, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2781,WFX-2781,"Poly/Viscose Suiting, 210 GSM, Beige, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2782,WFX-2782,"Cotton Fleece, 276 GSM, Navy, Solid",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2783,WFX-2783,"Organic Cotton, 169 GSM, Red, Solid",Fleece Brushed,"Machine wash warm with like colors, line dry"
TP-WFX-2784,WFX-2784,"Nylon Ripstop, 219 GSM, Black, Solid",Single Jersey,Dry clean only
TP-WFX-2785,WFX-2785,"Cotton Voile, 115 GSM, Lavender, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2786,WFX-2786,"Rayon Challis, 111 GSM, Indigo, Printed",Satin Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2787,WFX-2787,"French Terry, 263 GSM, Grey Melange, Solid",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2788,WFX-2788,"Viscose, 117 GSM, Off White, Solid",Single Jersey,"Machine wash warm with like colors, line dry"
TP-WFX-2789,WFX-2789,"Nylon Taslan, 369 GSM, Charcoal, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2790,WFX-2790,"Cotton Fleece, 291 GSM, Black, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2791,WFX-2791,"Oxford Cotton, 146 GSM, Black, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2792,WFX-2792,"Polyester Crepe, 167 GSM, Off White, Printed",Single Jersey,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2793,WFX-2793,"Cotton Canvas, 325 GSM, Red, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2794,WFX-2794,"Cotton Pique, 221 GSM, Grey Melange, Solid",Twill Weave 3/1,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2795,WFX-2795,"Nylon Ripstop, 229 GSM, Grey Melange, Solid",Interlock,"Machine wash warm with like colors, line dry"
TP-WFX-2796,WFX-2796,"Cotton Fleece, 283 GSM, Pink, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2797,WFX-2797,"Cotton Twill, 220 GSM, Charcoal, Solid",Dobby Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2798,WFX-2798,"Linen, 121 GSM, Grey Melange, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2799,WFX-2799,"Polyester Shell, 364 GSM, Beige, Solid",Twill Weave 3/1,"Machine wash cold inside out, do not iron print"
TP-WFX-2800,WFX-2800,"Chino Twill, 204 GSM, Beige, Solid",Pique Knit,"Machine wash warm with like colors, line dry"
TP-WFX-2801,WFX-2801,"French Terry, 185 GSM, Black, Solid",Single Jersey,Dry clean only
TP-WFX-2802,WFX-2802,"Linen, 118 GSM, Charcoal, Printed",Plain Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2803,WFX-2803,"Linen, 129 GSM, Beige, Solid",Fleece Brushed,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2804,WFX-2804,"Polyester Crepe, 168 GSM, Olive, Solid",Single Jersey,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2805,WFX-2805,"Nylon Taslan, 366 GSM, Charcoal, Solid",Interlock,Dry clean only
TP-WFX-2806,WFX-2806,"Nylon Taslan, 347 GSM, Charcoal, Solid",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2807,WFX-2807,"French Terry, 245 GSM, Charcoal, Solid",Fleece Brushed,"Machine wash cold inside out, do not iron print"
TP-WFX-2808,WFX-2808,"Cotton Poplin, 132 GSM, Grey Melange, Printed",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2809,WFX-2809,"Cotton Fleece, 393 GSM, Beige, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2810,WFX-2810,"Chambray, 151 GSM, Beige, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2811,WFX-2811,"Cotton Voile, 133 GSM, White, Printed",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2812,WFX-2812,"Cotton Voile, 176 GSM, Charcoal, Solid",Twill Weave 3/1,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2813,WFX-2813,"Polyester Shell, 233 GSM, Black, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2814,WFX-2814,"Cotton/Polyester 60/40, 152 GSM, Brown, Printed",Satin Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2815,WFX-2815,"Denim 10oz, 151 GSM, Grey Melange, Solid",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2816,WFX-2816,"Viscose, 161 GSM, Plum, Solid",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2817,WFX-2817,"Cotton/Polyester Fleece 80/20, 394 GSM, Blush Pink, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2818,WFX-2818,"Denim 12oz, 267 GSM, Grey Melange, Solid",Plain Weave,"Hand wash only, dry flat in shade"
TP-WFX-2819,WFX-2819,"Viscose, 236 GSM, Teal, Solid",Interlock,Dry clean only
TP-WFX-2820,WFX-2820,"Polyester Crepe, 166 GSM, Grey Melange, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2821,WFX-2821,"Viscose, 150 GSM, Blue, Printed",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2822,WFX-2822,"Chino Twill, 222 GSM, Charcoal, Solid",Single Jersey,Dry clean only
TP-WFX-2823,WFX-2823,"Cotton Pique, 223 GSM, Pink, Solid",Pique Knit,"Machine wash warm with like colors, line dry"
TP-WFX-2824,WFX-2824,"Cotton Fleece, 329 GSM, Off White, Solid",Satin Weave,Dry clean only
TP-WFX-2825,WFX-2825,"Cotton Fleece, 333 GSM, Charcoal, Solid",Twill Weave 3/1,Dry clean only
TP-WFX-2826,WFX-2826,"French Terry, 272 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2827,WFX-2827,"Cotton Twill, 195 GSM, Charcoal, Printed",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2828,WFX-2828,"Denim 14oz, 400 GSM, Black, Printed",Plain Weave,Dry clean only
TP-WFX-2829,WFX-2829,"Linen, 127 GSM, White, Solid",Plain Weave,"Hand wash only, dry flat in shade"
TP-WFX-2830,WFX-2830,"Polyester Pique, 208 GSM, Black, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2831,WFX-2831,"Denim 14oz, 464 GSM, Navy, Solid",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2832,WFX-2832,"Chino Twill, 290 GSM, Off White, Solid",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-2833,WFX-2833,"Oxford Cotton, 113 GSM, Off White, Solid",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2834,WFX-2834,"Cotton/Spandex 95/5, 212 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2835,WFX-2835,"Chambray, 138 GSM, Grey Melange, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2836,WFX-2836,"Cotton Voile, 111 GSM, White, Printed",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2837,WFX-2837,"Polyester Pique, 193 GSM, Charcoal, Solid",French Terry Loopback,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2838,WFX-2838,"Viscose, 216 GSM, Black, Solid",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2839,WFX-2839,"Denim 12oz, 337 GSM, Olive, Solid",Interlock,Dry clean only
TP-WFX-2840,WFX-2840,"Denim 12oz, 363 GSM, Navy, Solid",Satin Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2841,WFX-2841,"Cotton Twill, 243 GSM, White, Solid",Plain Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2842,WFX-2842,"Viscose, 255 GSM, Black, Solid",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2843,WFX-2843,"Polyester Crepe, 137 GSM, Off White, Solid",Pique Knit,"Machine wash warm with like colors, line dry"
TP-WFX-2844,WFX-2844,"Polyester Shell, 356 GSM, Black, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-2845,WFX-2845,"Organic Cotton, 152 GSM, Maroon, Printed",Twill Weave 3/1,"Machine wash cold inside out, do not iron print"
TP-WFX-2846,WFX-2846,"French Terry, 305 GSM, Beige, Solid",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2847,WFX-2847,"Cotton/Polyester Fleece 80/20, 388 GSM, Beige, Printed",Satin Weave,Dry clean only
TP-WFX-2848,WFX-2848,"Cotton Twill, 251 GSM, Grey Melange, Solid",Twill Weave 3/1,"Machine wash warm with like colors, line dry"
TP-WFX-2849,WFX-2849,"Chino Twill, 252 GSM, Black, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2850,WFX-2850,"Denim 10oz, 182 GSM, Charcoal, Printed",Satin Weave,Dry clean only
TP-WFX-2851,WFX-2851,"French Terry, 357 GSM, Charcoal, Printed",French Terry Loopback,Dry clean only
TP-WFX-2852,WFX-2852,"Cotton Canvas, 323 GSM, Grey Melange, Solid",Fleece Brushed,"Machine wash cold inside out, do not iron print"
TP-WFX-2853,WFX-2853,"Cotton Voile, 167 GSM, Charcoal, Printed",Fleece Brushed,Dry clean only
TP-WFX-2854,WFX-2854,"Cotton/Spandex 95/5, 188 GSM, Grey Melange, Printed",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2855,WFX-2855,"Loopback Cotton, 318 GSM, Black, Printed",Interlock,Dry clean only
TP-WFX-2856,WFX-2856,"Linen, 158 GSM, Grey Melange, Printed",Satin Weave,Dry clean only
TP-WFX-2857,WFX-2857,"Cotton Twill, 253 GSM, Blush Pink, Solid",Dobby Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2858,WFX-2858,"Cotton Twill, 216 GSM, Charcoal, Printed",2x2 Rib,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2859,WFX-2859,"Cotton Canvas, 317 GSM, Black, Solid",Interlock,"Machine wash warm with like colors, line dry"
TP-WFX-2860,WFX-2860,"Cotton/Spandex 95/5, 222 GSM, Charcoal, Solid",Twill Weave 3/1,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2861,WFX-2861,"French Terry, 252 GSM, Charcoal, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2862,WFX-2862,"Polyester Pique, 192 GSM, White, Solid",Twill Weave 3/1,Dry clean only
TP-WFX-2863,WFX-2863,"Linen, 125 GSM, Grey Melange, Solid",French Terry Loopback,"Machine wash warm with like colors, line dry"
TP-WFX-2864,WFX-2864,"Cotton Fleece, 269 GSM, Grey Melange, Solid",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2865,WFX-2865,"Nylon Ripstop, 219 GSM, Black, Printed",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-2866,WFX-2866,"French Terry, 174 GSM, Black, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2867,WFX-2867,"Cotton Voile, 156 GSM, Black, Solid",French Terry Loopback,"Machine wash warm with like colors, line dry"
TP-WFX-2868,WFX-2868,"Cotton Pique, 205 GSM, Black, Printed",Fleece Brushed,"Machine wash cold inside out, do not iron print"
TP-WFX-2869,WFX-2869,"Cotton Poplin, 118 GSM, Charcoal, Solid",2x2 Rib,"Machine wash warm with like colors, line dry"
TP-WFX-2870,WFX-2870,"French Terry, 338 GSM, Grey Melange, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2871,WFX-2871,"Cotton Twill, 253 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2872,WFX-2872,"French Terry, 391 GSM, Charcoal, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2873,WFX-2873,"Nylon Ripstop, 204 GSM, Grey Melange, Solid",Single Jersey,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2874,WFX-2874,"Denim 10oz, 249 GSM, Black, Solid",Satin Weave,"Hand wash only, dry flat in shade"
TP-WFX-2875,WFX-2875,"Viscose, 164 GSM, Grey Melange, Printed",Single Jersey,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2876,WFX-2876,"Chambray, 138 GSM, Grey Melange, Solid",Interlock,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2877,WFX-2877,"Cotton Canvas, 325 GSM, Brown, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2878,WFX-2878,"Polyester Crepe, 186 GSM, Grey Melange, Solid",French Terry Loopback,Dry clean only
TP-WFX-2879,WFX-2879,"Cotton Twill, 172 GSM, Black, Printed",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2880,WFX-2880,"100% Cotton, 161 GSM, Grey Melange, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2881,WFX-2881,"Chambray, 122 GSM, Sky Blue, Solid",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2882,WFX-2882,"Cotton Twill, 256 GSM, Grey Melange, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2883,WFX-2883,"Linen, 164 GSM, Blush Pink, Solid",Single Jersey,Dry clean only
TP-WFX-2884,WFX-2884,"French Terry, 259 GSM, Brown, Solid",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2885,WFX-2885,"Cotton Fleece, 336 GSM, Grey Melange, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2886,WFX-2886,"Polyester Crepe, 177 GSM, Blush Pink, Solid",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2887,WFX-2887,"Poly/Viscose Suiting, 294 GSM, Pink, Solid",Fleece Brushed,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2888,WFX-2888,"Oxford Cotton, 142 GSM, Brown, Solid",Plain Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2889,WFX-2889,"Stretch Denim 98/2, 446 GSM, Charcoal, Solid",Satin Weave,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2890,WFX-2890,"Cotton Poplin, 134 GSM, Charcoal, Solid",Twill Weave 3/1,"Machine wash cold inside out, do not iron print"
TP-WFX-2891,WFX-2891,"Cotton/Polyester 60/40, 147 GSM, Blue, Solid",Single Jersey,"Hand wash only, dry flat in shade"
TP-WFX-2892,WFX-2892,"Polyester Shell, 363 GSM, Red, Printed",Interlock,"Machine wash warm with like colors, line dry"
TP-WFX-2893,WFX-2893,"Cotton/Polyester Fleece 80/20, 380 GSM, Charcoal, Solid",Single Jersey,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2894,WFX-2894,"Denim 10oz, 246 GSM, Black, Solid",Single Jersey,Dry clean only
TP-WFX-2895,WFX-2895,"Denim 12oz, 334 GSM, Blush Pink, Solid",Pique Knit,Dry clean only
TP-WFX-2896,WFX-2896,"Cotton/Linen 70/30, 127 GSM, Green, Solid",Pique Knit,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2897,WFX-2897,"Cotton/Polyester 60/40, 145 GSM, Blue, Solid",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2898,WFX-2898,"Cotton Poplin, 160 GSM, Charcoal, Solid",French Terry Loopback,Dry clean only
TP-WFX-2899,WFX-2899,"French Terry, 228 GSM, Yellow, Printed",Plain Weave,Dry clean only
TP-WFX-2900,WFX-2900,"Loopback Cotton, 287 GSM, Maroon, Solid",Fleece Brushed,"Hand wash only, dry flat in shade"
TP-WFX-2901,WFX-2901,"Cotton/Polyester Fleece 80/20, 310 GSM, Sky Blue, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2902,WFX-2902,"Cotton Fleece, 329 GSM, Navy, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2903,WFX-2903,"100% Cotton, 177 GSM, Grey Melange, Solid",Interlock,Dry clean only
TP-WFX-2904,WFX-2904,"Polyester Pique, 184 GSM, Sky Blue, Solid",Satin Weave,"Machine wash warm with like colors, line dry"
TP-WFX-2905,WFX-2905,"Stretch Denim 98/2, 451 GSM, Black, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2906,WFX-2906,"Denim 12oz, 229 GSM, Grey Melange, Solid",Dobby Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2907,WFX-2907,"Cotton Slub, 189 GSM, Beige, Printed",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2908,WFX-2908,"Poly/Viscose Suiting, 200 GSM, Lavender, Printed",Pique Knit,"Machine wash cold gentle cycle, medium iron"
TP-WFX-2909,WFX-2909,"100% Cotton, 177 GSM, Charcoal, Printed",Fleece Brushed,Dry clean only
TP-WFX-2910,WFX-2910,"Cotton Twill, 200 GSM, Off White, Solid",Interlock,"Machine wash cold gentle cycle, medium iron"
