order_number,buyer,style_number,quantity,unit_price,shipment_date,status
SO-00330,Maple Leaf Fashion,WFX-2541,5000,799.97,2025-02-21,Shipped
SO-00331,Lion City Apparel,WFX-3411,2000,1157.61,2025-12-12,In Production
SO-00332,Rhine Mode GmbH,WFX-3192,300,840.82,2025-07-03,Shipped
SO-00333,Sakura Style KK,WFX-2801,3000,988.24,2025-11-29,Confirmed
SO-00334,Prairie Wholesale Inc,WFX-2805,300,2939.61,2026-01-01,Shipped
SO-00335,Nordic Retail AB,WFX-3250,3000,1006.36,2025-03-28,In Production
SO-00336,Maple Leaf Fashion,WFX-3048,800,2238.82,2026-10-11,Delivered
SO-00337,Outback Outfitters,WFX-3006,1500,849.2,2026-04-15,In Production
SO-00338,Lion City Apparel,WFX-3206,1000,1899.0,2026-06-21,Delivered
SO-00339,Iberia Moda SL,WFX-3083,300,2102.15,2026-01-17,Confirmed
SO-00340,Thames & Co,WFX-2540,500,1257.89,2025-03-22,In Production
SO-00341,Prairie Wholesale Inc,WFX-2846,1500,1294.63,2025-01-23,Shipped
SO-00342,Alpine Casuals SA,WFX-2689,1500,957.29,2025-03-23,Delivered
SO-00343,Outback Outfitters,WFX-3357,500,721.74,2026-08-08,Delivered
SO-00344,Rhine Mode GmbH,WFX-2768,1000,1375.6,2025-02-20,Delivered
SO-00345,Lion City Apparel,WFX-2884,5000,954.08,2026-03-24,In Production
SO-00346,Alpine Casuals SA,WFX-2782,800,946.47,2026-11-19,In Production
SO-00347,Lion City Apparel,WFX-2547,3000,713.66,2026-11-26,Delivered
SO-00348,Rhine Mode GmbH,WFX-2792,300,1192.55,2025-01-20,Shipped
SO-00349,Outback Outfitters,WFX-3301,800,819.71,2026-04-19,In Production
SO-00350,Prairie Wholesale Inc,WFX-3114,2000,1098.2,2025-08-19,Confirmed
SO-00351,Alpine Casuals SA,WFX-2519,2000,1158.92,2026-09-19,In Production
SO-00352,Alpine Casuals SA,WFX-2795,5000,975.08,2026-10-13,Shipped
SO-00353,Sakura Style KK,WFX-3110,3000,1707.16,2026-07-26,Shipped
SO-00354,Sakura Style KK,WFX-2513,2000,3311.37,2026-04-01,In Production
SO-00355,Iberia Moda SL,WFX-2656,5000,1055.5,2026-12-16,In Production
SO-00356,Prairie Wholesale Inc,WFX-2675,3000,755.6,2025-02-03,In Production
SO-00357,Lion City Apparel,WFX-3177,500,1680.95,2026-07-29,Shipped
SO-00358,Maple Leaf Fashion,WFX-2854,1000,618.91,2026-06-27,Delivered
SO-00359,Rhine Mode GmbH,WFX-2879,1500,891.62,2026-04-08,Delivered
SO-00360,Iberia Moda SL,WFX-3191,300,995.48,2026-08-22,In Production
SO-00361,Lion City Apparel,WFX-2671,2000,1300.28,2026-03-02,Shipped
SO-00362,Nordic Retail AB,WFX-3284,1500,908.09,2026-05-18,Shipped
SO-00363,Outback Outfitters,WFX-2741,800,2709.43,2025-05-07,In Production
SO-00364,Outback Outfitters,WFX-2600,1000,585.8,2025-04-24,In Production
SO-00365,Rhine Mode GmbH,WFX-3085,800,894.91,2026-02-15,Delivered
SO-00366,Outback Outfitters,WFX-3064,2000,1405.88,2026-03-05,Delivered
SO-00367,Lion City Apparel,WFX-3423,1500,1702.13,2026-01-07,In Production
SO-00368,Maple Leaf Fashion,WFX-3146,2000,548.62,2026-06-30,Shipped
SO-00369,Bayside Brands,WFX-2902,3000,1396.02,2026-04-21,Shipped
SO-00370,Iberia Moda SL,WFX-2794,800,1149.85,2025-07-01,Delivered
SO-00371,Rhine Mode GmbH,WFX-2910,300,661.12,2025-12-09,Shipped
SO-00372,Iberia Moda SL,WFX-3282,800,1039.53,2025-04-11,Delivered
SO-00373,Lion City Apparel,WFX-2893,3000,1756.18,2026-02-25,Cancelled
SO-00374,Prairie Wholesale Inc,WFX-2694,300,916.57,2025-05-22,Shipped
SO-00375,Lion City Apparel,WFX-3125,500,884.89,2026-02-23,Shipped
SO-00376,Nordic Retail AB,WFX-3469,2000,1067.44,2025-06-20,Shipped
SO-00377,Prairie Wholesale Inc,WFX-3083,5000,2102.15,2026-01-15,Delivered
SO-00378,Alpine Casuals SA,WFX-2524,3000,1195.75,2025-07-17,Shipped
SO-00379,Thames & Co,WFX-3371,5000,671.82,2025-09-03,In Production
SO-00380,Iberia Moda SL,WFX-2680,1000,595.99,2025-10-28,In Production
SO-00381,Nordic Retail AB,WFX-2567,1000,3173.24,2026-04-16,Shipped
SO-00382,Prairie Wholesale Inc,WFX-2751,5000,1079.7,2025-07-01,Cancelled
SO-00383,Iberia Moda SL,WFX-3497,500,864.64,2025-12-06,Delivered
SO-00384,Thames & Co,WFX-3394,1000,1157.08,2025-03-13,Shipped
SO-00385,Alpine Casuals SA,WFX-2508,300,1898.33,2026-02-21,Delivered
SO-00386,Gulf Fashion Trading,WFX-3388,5000,651.27,2025-03-14,Delivered
SO-00387,Outback Outfitters,WFX-3302,1500,927.76,2026-07-05,Delivered
SO-00388,Alpine Casuals SA,WFX-2624,300,837.02,2025-03-03,Shipped
SO-00389,Outback Outfitters,WFX-2800,300,827.99,2026-06-08,In Production
SO-00390,Prairie Wholesale Inc,WFX-3145,5000,1740.2,2025-05-08,Shipped
SO-00391,Thames & Co,WFX-2607,1500,608.57,2026-08-17,Delivered
SO-00392,Maple Leaf Fashion,WFX-3272,800,471.19,2026-11-04,In Production
SO-00393,Thames & Co,WFX-2848,1000,1203.4,2025-08-04,Delivered
SO-00394,Maple Leaf Fashion,WFX-2771,2000,1480.98,2025-03-17,Shipped
SO-00395,Alpine Casuals SA,WFX-2970,5000,1674.05,2025-09-24,Delivered
SO-00396,Rhine Mode GmbH,WFX-2851,5000,1625.66,2026-04-07,In Production
SO-00397,Rhine Mode GmbH,WFX-3217,1500,937.42,2025-05-24,Shipped
SO-00398,Gulf Fashion Trading,WFX-2652,1500,1165.34,2026-01-15,Confirmed
SO-00399,Sakura Style KK,WFX-3078,1500,877.15,2025-06-12,In Production
SO-00400,Prairie Wholesale Inc,WFX-3082,1500,1338.25,2026-03-27,Shipped
SO-00401,Rhine Mode GmbH,WFX-3190,800,1216.54,2026-12-13,Delivered
SO-00402,Thames & Co,WFX-2632,1500,1191.5,2025-09-21,Delivered
SO-00403,Bayside Brands,WFX-3153,300,1066.96,2026-08-21,Delivered
SO-00404,Thames & Co,WFX-2811,300,1475.22,2026-06-05,In Production
SO-00405,Gulf Fashion Trading,WFX-3264,3000,809.16,2025-06-24,Shipped
SO-00406,Sakura Style KK,WFX-3496,800,1192.24,2026-05-29,Shipped
SO-00407,Gulf Fashion Trading,WFX-2822,2000,1489.24,2026-05-12,In Production
SO-00408,Thames & Co,WFX-3164,5000,1178.25,2026-01-24,In Production
SO-00409,Prairie Wholesale Inc,WFX-2515,500,785.99,2025-11-13,In Production
SO-00410,Bayside Brands,WFX-2712,800,1208.4,2025-05-03,In Production
SO-00411,Bayside Brands,WFX-3166,2000,1527.12,2026-08-07,Shipped
SO-00412,Prairie Wholesale Inc,WFX-3435,300,1216.38,2026-06-21,Delivered
SO-00413,Bayside Brands,WFX-3420,1000,789.01,2025-02-03,In Production
SO-00414,Prairie Wholesale Inc,WFX-2909,500,680.13,2026-06-04,Cancelled
SO-00415,Rhine Mode GmbH,WFX-2569,500,991.89,2025-02-27,Cancelled
SO-00416,Lion City Apparel,WFX-2958,1000,1050.04,2025-07-07,In Production
SO-00417,Prairie Wholesale Inc,WFX-3207,1000,1044.4,2026-04-13,In Production
SO-00418,Nordic Retail AB,WFX-2682,1500,1050.19,2025-04-04,Shipped
SO-00419,Bayside Brands,WFX-3261,500,812.76,2025-05-16,Delivered
SO-00420,Rhine Mode GmbH,WFX-3036,300,1290.31,2025-09-07,In Production
SO-00421,Lion City Apparel,WFX-3100,5000,1345.37,2026-07-04,Shipped
SO-00422,Nordic Retail AB,WFX-3403,2000,1756.37,2025-03-16,Delivered
SO-00423,Iberia Moda SL,WFX-2702,500,1639.77,2026-05-03,Shipped
SO-00424,Maple Leaf Fashion,WFX-2703,1000,1357.44,2025-11-04,Shipped
SO-00425,Nordic Retail AB,WFX-3083,3000,2102.15,2025-04-25,Delivered
SO-00426,Iberia Moda SL,WFX-3238,1000,1063.63,2026-10-13,Shipped
SO-00427,Iberia Moda SL,WFX-3130,300,621.41,2026-02-21,In Production
SO-00428,Rhine Mode GmbH,WFX-3116,5000,1727.47,2025-12-03,Shipped
SO-00429,Iberia Moda SL,WFX-3020,1500,1066.52,2025-11-03,Cancelled
SO-00430,Gulf Fashion Trading,WFX-2771,1000,1480.98,2026-11-26,In Production
SO-00431,Gulf Fashion Trading,WFX-3075,1500,1351.44,2025-04-25,Shipped
SO-00432,Thames & Co,WFX-3275,5000,524.06,2026-06-06,Confirmed
SO-00433,Iberia Moda SL,WFX-2982,800,1087.81,2026-03-19,In Production
SO-00434,Rhine Mode GmbH,WFX-3190,500,1216.54,2026-03-30,Delivered
SO-00435,Prairie Wholesale Inc,WFX-2851,800,1625.66,2025-04-22,In Production
SO-00436,Bayside Brands,WFX-3282,1000,1039.53,2025-11-09,In Production
SO-00437,Gulf Fashion Trading,WFX-2828,5000,1149.31,2025-11-04,Confirmed
SO-00438,Lion City Apparel,WFX-3450,1000,1923.22,2025-06-08,Shipped
SO-00439,Thames & Co,WFX-2832,1000,1107.13,2025-06-25,Delivered
SO-00440,Thames & Co,WFX-3373,800,840.68,2026-06-13,In Production
SO-00441,Prairie Wholesale Inc,WFX-2986,3000,2580.82,2025-10-03,Delivered
SO-00442,Rhine Mode GmbH,WFX-2735,5000,1116.88,2025-11-07,Delivered
SO-00443,Thames & Co,WFX-2880,1500,706.32,2025-12-29,In Production
SO-00444,Alpine Casuals SA,WFX-3350,2000,811.6,2026-03-12,Shipped
SO-00445,Outback Outfitters,WFX-3077,3000,752.41,2026-02-18,Confirmed
SO-00446,Outback Outfitters,WFX-2557,2000,382.49,2025-05-24,Shipped
SO-00447,Iberia Moda SL,WFX-3499,1500,1350.02,2026-12-23,Confirmed
SO-00448,Bayside Brands,WFX-2708,1500,468.64,2026-01-18,In Production
SO-00449,Sakura Style KK,WFX-2525,3000,1147.7,2025-11-30,Delivered
SO-00450,Gulf Fashion Trading,WFX-3072,1000,1805.43,2026-09-25,Delivered
SO-00451,Iberia Moda SL,WFX-3016,1500,1315.36,2025-09-06,Confirmed
SO-00452,Sakura Style KK,WFX-2665,5000,2284.04,2026-08-31,Delivered
SO-00453,Nordic Retail AB,WFX-2982,3000,1087.81,2026-12-25,Delivered
SO-00454,Bayside Brands,WFX-2999,1500,853.5,2026-08-24,Cancelled
SO-00455,Nordic Retail AB,WFX-2885,500,1276.06,2025-12-17,Confirmed
SO-00456,Gulf Fashion Trading,WFX-2783,2000,310.9,2025-10-19,Shipped
SO-00457,Iberia Moda SL,WFX-2614,800,939.28,2025-03-17,Delivered
SO-00458,Alpine Casuals SA,WFX-2833,3000,858.67,2025-06-04,Delivered
SO-00459,Rhine Mode GmbH,WFX-3104,1000,271.87,2026-03-25,Shipped
SO-00460,Sakura Style KK,WFX-2752,1500,848.33,2025-10-26,Shipped
SO-00461,Nordic Retail AB,WFX-3207,800,1044.4,2025-03-11,Delivered
SO-00462,Alpine Casuals SA,WFX-3392,2000,1225.41,2026-01-05,Cancelled
SO-00463,Iberia Moda SL,WFX-3427,1000,1544.41,2026-04-25,In Production
SO-00464,Iberia Moda SL,WFX-2734,2000,688.18,2026-11-25,In Production
SO-00465,Alpine Casuals SA,WFX-3495,1500,1593.21,2025-01-24,In Production
SO-00466,Maple Leaf Fashion,WFX-2644,3000,1505.95,2026-05-14,Shipped
SO-00467,Nordic Retail AB,WFX-3318,300,807.32,2026-06-09,Delivered
SO-00468,Nordic Retail AB,WFX-2883,3000,932.31,2026-06-01,Cancelled
SO-00469,Sakura Style KK,WFX-3395,5000,771.72,2025-12-08,In Production
SO-00470,Maple Leaf Fashion,WFX-3150,500,552.79,2026-07-26,Shipped
SO-00471,Maple Leaf Fashion,WFX-3300,800,402.3,2025-03-31,Delivered
SO-00472,Iberia Moda SL,WFX-3088,1000,1647.84,2026-12-02,Delivered
SO-00473,Rhine Mode GmbH,WFX-2942,5000,1915.53,2025-06-05,Shipped
SO-00474,Sakura Style KK,WFX-3167,500,1453.06,2026-08-13,In Production
SO-00475,Iberia Moda SL,WFX-2848,3000,1203.4,2026-02-16,Delivered
SO-00476,Rhine Mode GmbH,WFX-3089,300,1101.35,2026-02-04,Shipped
SO-00477,Nordic Retail AB,WFX-2520,1000,2233.31,2025-06-04,In Production
SO-00478,Bayside Brands,WFX-2766,2000,1577.84,2026-11-01,Shipped
SO-00479,Bayside Brands,WFX-3182,2000,2899.7,2026-08-14,Delivered
SO-00480,Bayside Brands,WFX-2657,800,900.56,2025-07-05,In Production
SO-00481,Nordic Retail AB,WFX-2604,300,1527.12,2026-07-08,Delivered
SO-00482,Maple Leaf Fashion,WFX-2857,2000,565.88,2025-08-24,Delivered
SO-00483,Bayside Brands,WFX-3174,1000,725.23,2026-03-11,In Production
SO-00484,Bayside Brands,WFX-2778,1000,644.83,2025-01-28,Delivered
SO-00485,Iberia Moda SL,WFX-2641,500,1396.51,2026-01-20,Delivered
SO-00486,Iberia Moda SL,WFX-2527,1000,1385.2,2026-04-03,In Production
SO-00487,Outback Outfitters,WFX-2950,1000,1345.46,2026-01-25,In Production
SO-00488,Maple Leaf Fashion,WFX-3105,500,975.5,2026-06-03,Cancelled
SO-00489,Lion City Apparel,WFX-3436,500,545.28,2025-08-03,In Production
SO-00490,Iberia Moda SL,WFX-2624,2000,837.02,2025-11-21,Delivered
SO-00491,Bayside Brands,WFX-2926,1000,517.43,2026-06-04,Cancelled
SO-00492,Iberia Moda SL,WFX-2869,1500,966.26,2026-04-13,Shipped
SO-00493,Nordic Retail AB,WFX-2517,3000,1171.08,2026-02-14,Delivered
SO-00494,Maple Leaf Fashion,WFX-3485,2000,984.49,2025-11-14,In Production
SO-00495,Maple Leaf Fashion,WFX-3357,3000,721.74,2026-10-30,Delivered
SO-00496,Bayside Brands,WFX-2808,500,696.46,2026-02-04,Delivered
SO-00497,Iberia Moda SL,WFX-3397,300,662.12,2025-10-09,Cancelled
SO-00498,Prairie Wholesale Inc,WFX-3248,2000,1605.24,2025-09-12,Confirmed
SO-00499,Lion City Apparel,WFX-2682,300,1050.19,2025-06-09,Confirmed
SO-00500,Alpine Casuals SA,WFX-2644,5000,1505.95,2025-03-04,Delivered
SO-00501,Bayside Brands,WFX-3111,1500,2005.96,2026-03-01,In Production
SO-00502,Thames & Co,WFX-3344,3000,731.82,2026-06-16,In Production
SO-00503,Thames & Co,WFX-3489,800,977.11,2025-04-23,In Production
SO-00504,Thames & Co,WFX-3306,300,2251.3,2025-11-10,Shipped
SO-00505,Prairie Wholesale Inc,WFX-2914,2000,1716.46,2025-09-29,Delivered
SO-00506,Sakura Style KK,WFX-3137,300,630.65,2025-12-06,Delivered
SO-00507,Iberia Moda SL,WFX-2530,300,1161.96,2025-05-28,Delivered
SO-00508,Outback Outfitters,WFX-3436,300,545.28,2026-09-05,Shipped
SO-00509,Gulf Fashion Trading,WFX-3240,800,1937.95,2025-01-16,In Production
SO-00510,Bayside Brands,WFX-2858,500,1551.88,2025-03-09,Shipped
SO-00511,Iberia Moda SL,WFX-2616,5000,2670.45,2026-07-04,Cancelled
SO-00512,Thames & Co,WFX-2951,300,1037.17,2026-04-26,In Production
SO-00513,Rhine Mode GmbH,WFX-3422,800,1926.32,2026-07-07,In Production
SO-00514,Lion City Apparel,WFX-2875,500,1120.74,2026-08-08,Shipped
SO-00515,Thames & Co,WFX-2701,1000,823.32,2025-05-27,Shipped
SO-00516,Prairie Wholesale Inc,WFX-2731,500,1528.5,2026-02-18,Delivered
SO-00517,Lion City Apparel,WFX-2790,500,2224.86,2025-09-14,In Production
SO-00518,Alpine Casuals SA,WFX-2690,1500,1102.26,2026-04-19,In Production
SO-00519,Lion City Apparel,WFX-3185,1500,631.52,2025-05-15,Delivered
SO-00520,Outback Outfitters,WFX-2836,2000,1045.95,2026-08-17,Delivered
SO-00521,Nordic Retail AB,WFX-3255,3000,1059.62,2025-07-22,Shipped
SO-00522,Nordic Retail AB,WFX-2687,800,710.86,2025-09-01,Shipped
SO-00523,Outback Outfitters,WFX-2666,2000,2808.2,2026-05-08,Confirmed
SO-00524,Sakura Style KK,WFX-2996,1000,1642.82,2026-08-15,Shipped
SO-00525,Iberia Moda SL,WFX-2916,1000,1149.49,2025-09-27,Shipped
SO-00526,Iberia Moda SL,WFX-3059,500,1235.56,2026-11-03,Delivered
SO-00527,Gulf Fashion Trading,WFX-3287,2000,782.12,2025-07-10,In Production
SO-00528,Sakura Style KK,WFX-2762,5000,1159.83,2026-04-13,Delivered
SO-00529,Maple Leaf Fashion,WFX-3180,2000,347.35,2025-09-27,Delivered
SO-00530,Sakura Style KK,WFX-2565,3000,4056.51,2026-07-11,Shipped
SO-00531,Maple Leaf Fashion,WFX-2630,1000,715.83,2025-04-24,Cancelled
SO-00532,Gulf Fashion Trading,WFX-2624,1500,837.02,2025-12-22,Confirmed
SO-00533,Iberia Moda SL,WFX-2815,3000,965.17,2025-03-26,Shipped
SO-00534,Gulf Fashion Trading,WFX-3490,800,1270.0,2026-06-08,In Production
SO-00535,Thames & Co,WFX-2700,1000,733.47,2025-07-23,Delivered
SO-00536,Alpine Casuals SA,WFX-3252,2000,1028.68,2025-06-05,Shipped
SO-00537,Gulf Fashion Trading,WFX-3077,300,752.41,2026-01-07,Delivered
SO-00538,Bayside Brands,WFX-3053,800,1427.97,2025-04-13,In Production
SO-00539,Thames & Co,WFX-3197,1000,687.45,2025-06-05,Delivered
SO-00540,Lion City Apparel,WFX-3054,3000,881.81,2025-10-13,Delivered
SO-00541,Outback Outfitters,WFX-2551,1500,828.72,2026-06-19,In Production
SO-00542,Outback Outfitters,WFX-3496,5000,1192.24,2025-05-20,Shipped
SO-00543,Rhine Mode GmbH,WFX-3239,300,986.96,2026-12-27,Confirmed
SO-00544,Prairie Wholesale Inc,WFX-3070,1500,1476.16,2026-09-20,In Production
SO-00545,Maple Leaf Fashion,WFX-3109,300,883.85,2025-05-24,Delivered
SO-00546,Iberia Moda SL,WFX-2648,800,2721.57,2025-09-06,Delivered
SO-00547,Thames & Co,WFX-2901,3000,2002.38,2025-07-18,In Production
SO-00548,Sakura Style KK,WFX-2755,500,737.35,2025-10-10,In Production
SO-00549,Outback Outfitters,WFX-2644,500,1505.95,2026-08-23,Delivered
SO-00550,Prairie Wholesale Inc,WFX-3468,800,1546.25,2025-05-26,In Production
SO-00551,Rhine Mode GmbH,WFX-3189,2000,1462.0,2025-05-01,Confirmed
SO-00552,Rhine Mode GmbH,WFX-3034,500,877.02,2026-09-05,Delivered
SO-00553,Bayside Brands,WFX-2983,5000,978.96,2025-05-08,In Production
SO-00554,Alpine Casuals SA,WFX-3055,5000,1090.87,2025-12-16,In Production
SO-00555,Rhine Mode GmbH,WFX-3397,300,662.12,2025-09-19,In Production
SO-00556,Prairie Wholesale Inc,WFX-2616,5000,2670.45,2025-06-22,Shipped
SO-00557,Alpine Casuals SA,WFX-3398,5000,1496.41,2025-08-19,Delivered
SO-00558,Maple Leaf Fashion,WFX-3036,500,1290.31,2026-09-10,Cancelled
SO-00559,Lion City Apparel,WFX-3483,2000,833.59,2026-11-12,In Production
SO-00560,Alpine Casuals SA,WFX-3007,3000,928.57,2026-10-16,Shipped
SO-00561,Rhine Mode GmbH,WFX-2608,1500,1539.83,2026-10-18,Delivered
SO-00562,Sakura Style KK,WFX-3021,3000,2008.07,2025-09-15,Delivered
SO-00563,Maple Leaf Fashion,WFX-2866,300,698.99,2026-05-13,Confirmed
SO-00564,Lion City Apparel,WFX-2749,5000,3164.04,2026-03-21,In Production
SO-00565,Rhine Mode GmbH,WFX-3182,500,2899.7,2026-12-27,Cancelled
SO-00566,Gulf Fashion Trading,WFX-3000,3000,1067.27,2026-11-15,Shipped
SO-00567,Nordic Retail AB,WFX-2892,500,2323.76,2026-10-21,Shipped
SO-00568,Maple Leaf Fashion,WFX-3477,500,570.83,2025-09-02,Confirmed
SO-00569,Lion City Apparel,WFX-2870,3000,1120.53,2025-02-10,Delivered
SO-00570,Prairie Wholesale Inc,WFX-2856,5000,1027.65,2026-08-11,Delivered
SO-00571,Gulf Fashion Trading,WFX-3385,300,900.57,2026-10-06,Delivered
SO-00572,Outback Outfitters,WFX-3263,300,681.91,2025-07-05,In Production
SO-00573,Prairie Wholesale Inc,WFX-2525,2000,1147.7,2026-02-27,Confirmed
SO-00574,Nordic Retail AB,WFX-3322,5000,1064.95,2025-09-17,Delivered
SO-00575,Prairie Wholesale Inc,WFX-2868,2000,794.88,2025-09-12,In Production
SO-00576,Iberia Moda SL,WFX-2784,300,600.61,2026-12-17,In Production
SO-00577,Rhine Mode GmbH,WFX-3151,800,1280.37,2026-07-15,In Production
SO-00578,Sakura Style KK,WFX-3164,3000,1178.25,2025-06-26,Delivered
SO-00579,Iberia Moda SL,WFX-3365,500,2395.17,2026-09-24,In Production
SO-00580,Alpine Casuals SA,WFX-3052,1000,1814.61,2025-11-10,In Production
SO-00581,Alpine Casuals SA,WFX-2604,500,1527.12,2025-11-17,Shipped
SO-00582,Iberia Moda SL,WFX-3137,800,630.65,2025-07-27,Delivered
SO-00583,Alpine Casuals SA,WFX-2772,5000,588.85,2026-03-25,In Production
SO-00584,Sakura Style KK,WFX-3418,800,1207.91,2025-11-27,Cancelled
SO-00585,Maple Leaf Fashion,WFX-2517,1000,1171.08,2026-06-03,Shipped
SO-00586,Prairie Wholesale Inc,WFX-3218,1500,1602.87,2026-07-06,Delivered
SO-00587,Outback Outfitters,WFX-2683,500,911.4,2025-04-03,In Production
SO-00588,Lion City Apparel,WFX-3229,3000,888.6,2025-05-30,Delivered
SO-00589,Sakura Style KK,WFX-3234,2000,844.6,2026-01-30,In Production
SO-00590,Alpine Casuals SA,WFX-2607,1500,608.57,2025-03-26,Shipped
SO-00591,Bayside Brands,WFX-2832,5000,1107.13,2025-09-09,Delivered
SO-00592,Thames & Co,WFX-3062,1500,962.41,2025-08-18,Confirmed
SO-00593,Alpine Casuals SA,WFX-3354,1000,819.95,2025-08-20,In Production
SO-00594,Prairie Wholesale Inc,WFX-2951,1000,1037.17,2025-10-31,Confirmed
SO-00595,Nordic Retail AB,WFX-2750,5000,2606.47,2026-03-01,Delivered
SO-00596,Gulf Fashion Trading,WFX-3070,1000,1476.16,2026-06-16,Shipped
SO-00597,Outback Outfitters,WFX-3095,3000,1661.08,2026-12-25,Delivered
SO-00598,Sakura Style KK,WFX-3316,1500,1786.57,2026-01-09,Shipped
SO-00599,Bayside Brands,WFX-3422,2000,1926.32,2025-03-20,Shipped
SO-00600,Alpine Casuals SA,WFX-3482,800,802.26,2026-12-21,In Production
SO-00601,Gulf Fashion Trading,WFX-2753,800,1001.87,2026-06-04,Confirmed
SO-00602,Iberia Moda SL,WFX-3226,2000,761.22,2026-09-11,Confirmed
SO-00603,Alpine Casuals SA,WFX-2734,2000,688.18,2026-10-23,Delivered
SO-00604,Gulf Fashion Trading,WFX-3500,1000,942.75,2026-08-12,Shipped
SO-00605,Nordic Retail AB,WFX-3357,5000,721.74,2026-05-25,Shipped
SO-00606,Outback Outfitters,WFX-3106,500,731.93,2025-06-25,Cancelled
SO-00607,Gulf Fashion Trading,WFX-2523,5000,632.71,2025-02-28,Shipped
SO-00608,Sakura Style KK,WFX-3418,5000,1207.91,2025-06-01,Delivered
SO-00609,Prairie Wholesale Inc,WFX-2566,2000,2263.69,2025-10-10,Confirmed
SO-00610,Rhine Mode GmbH,WFX-3084,300,2001.76,2026-05-18,Delivered
SO-00611,Alpine Casuals SA,WFX-2942,800,1915.53,2025-08-09,Cancelled
SO-00612,Iberia Moda SL,WFX-3178,1500,1307.38,2026-11-22,Shipped
SO-00613,Sakura Style KK,WFX-2812,1000,2383.04,2026-06-05,Shipped
SO-00614,Outback Outfitters,WFX-3469,800,1067.44,2026-11-29,Delivered
SO-00615,Sakura Style KK,WFX-3101,300,1947.68,2025-02-24,Cancelled
SO-00616,Sakura Style KK,WFX-3230,500,717.28,2025-03-14,Delivered
SO-00617,Maple Leaf Fashion,WFX-3129,3000,1370.77,2025-07-19,Delivered
SO-00618,Lion City Apparel,WFX-2755,800,737.35,2025-01-31,Delivered
SO-00619,Iberia Moda SL,WFX-3165,500,1386.98,2025-04-07,In Production
SO-00620,Outback Outfitters,WFX-3469,3000,1067.44,2026-01-26,Delivered
SO-00621,Iberia Moda SL,WFX-3214,800,697.38,2025-07-07,Delivered
SO-00622,Rhine Mode GmbH,WFX-2599,2000,926.77,2026-03-17,In Production
SO-00623,Rhine Mode GmbH,WFX-3401,5000,720.8,2025-09-24,Confirmed
SO-00624,Bayside Brands,WFX-2912,1000,2111.78,2026-10-25,In Production
SO-00625,Maple Leaf Fashion,WFX-3149,2000,834.99,2025-04-07,Shipped
SO-00626,Rhine Mode GmbH,WFX-3037,300,658.17,2025-03-04,Delivered
SO-00627,Nordic Retail AB,WFX-3071,2000,1322.39,2025-01-02,Confirmed
SO-00628,Gulf Fashion Trading,WFX-3487,300,881.2,2026-01-29,Confirmed
SO-00629,Nordic Retail AB,WFX-2814,2000,371.29,2025-06-26,Delivered
SO-00630,Prairie Wholesale Inc,WFX-2694,5000,916.57,2025-08-12,In Production
SO-00631,Sakura Style KK,WFX-3500,500,942.75,2025-06-08,Delivered
SO-00632,Sakura Style KK,WFX-3115,800,1154.56,2026-12-25,Delivered
SO-00633,Thames & Co,WFX-3367,800,2334.16,2026-04-01,Delivered
SO-00634,Lion City Apparel,WFX-2532,300,1688.97,2025-05-04,Delivered
SO-00635,Rhine Mode GmbH,WFX-3327,1500,1412.46,2026-12-01,Confirmed
SO-00636,Lion City Apparel,WFX-2685,800,784.91,2026-05-25,Delivered
SO-00637,Lion City Apparel,WFX-2698,800,657.19,2025-12-12,Cancelled
SO-00638,Iberia Moda SL,WFX-3461,3000,703.81,2025-04-30,Delivered
SO-00639,Gulf Fashion Trading,WFX-3185,500,631.52,2026-01-10,In Production
SO-00640,Bayside Brands,WFX-2645,5000,1333.47,2026-02-18,In Production
SO-00641,Sakura Style KK,WFX-2543,300,1459.12,2026-05-07,Delivered
SO-00642,Prairie Wholesale Inc,WFX-3331,500,1658.37,2025-04-04,Delivered
SO-00643,Prairie Wholesale Inc,WFX-3180,2000,347.35,2026-07-31,Delivered
SO-00644,Alpine Casuals SA,WFX-3089,3000,1101.35,2026-10-21,Delivered
SO-00645,Rhine Mode GmbH,WFX-2706,2000,1597.6,2025-07-22,Confirmed
SO-00646,Prairie Wholesale Inc,WFX-2800,3000,827.99,2026-01-22,Shipped
SO-00647,Iberia Moda SL,WFX-2585,300,2175.44,2025-11-26,Shipped
SO-00648,Iberia Moda SL,WFX-3075,3000,1351.44,2025-10-22,In Production
SO-00649,Prairie Wholesale Inc,WFX-3290,300,535.81,2025-02-12,Shipped
SO-00650,Maple Leaf Fashion,WFX-2693,1500,1257.02,2026-08-08,Delivered
SO-00651,Thames & Co,WFX-3056,2000,419.54,2026-07-02,Delivered
SO-00652,Nordic Retail AB,WFX-2529,1500,645.61,2025-12-27,In Production
SO-00653,Gulf Fashion Trading,WFX-3488,300,639.38,2026-12-02,Delivered
SO-00654,Outback Outfitters,WFX-3395,800,771.72,2026-11-29,Shipped
SO-00655,Nordic Retail AB,WFX-3216,1000,764.04,2025-07-10,Confirmed
SO-00656,Bayside Brands,WFX-3414,2000,447.38,2025-07-28,Confirmed
SO-00657,Bayside Brands,WFX-3008,300,1350.16,2026-01-26,Confirmed
SO-00658,Alpine Casuals SA,WFX-2711,500,699.83,2025-01-05,Delivered
SO-00659,Bayside Brands,WFX-3427,2000,1544.41,2026-02-04,Cancelled
